Bag Number,Surface,Fold,Time (Bag),Mu Value,Inconsistency,Raw If Applicable,Previously Recorded Mu,Previoulsy Recorded Time,Mu Difference,Timestamp Difference,,,,,,,,,,,,,,
,Cardboard,.,1756825220,1.074603147,,,1.074603147,,0.000,,,,,,,,,,,,,,,
Bag7,Tile,1,1756825270,0.7674276654,,,0.7674276654,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825273,1.145653588,,,1.145653588,,0.000,,,,,,,,,,,,,,,
Bag8,Tile,2,1756825341,0.8090669306,,,0.8090669306,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825345,0.9732260447,,,0.9732260447,,0.000,,,,,,,,,,,,,,,
Bag9,Tile,5,1756825382,0.834754076,,,0.834754076,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825385,0.9683953042,,,0.9683953042,,0.000,,,,,,,,,,,,,,,
Bag10,Tile,3,1756825414,0.7852399325,,,0.7852399325,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825417,0.956274921,,,0.956274921,,0.000,,,,,,,,,,,,,,,
Bag11,Tile,1,1756825473,0.7787457134,,,0.7787457134,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825477,1.088336337,,,1.088336337,,0.000,,,,,,,,,,,,,,,
Bag12,Tile,4,1756825505,0.7791491994,,,0.7791491994,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825510,1.040595808,,,1.040595808,,0.000,,,,,,,,,,,,,,,
Bag13,Tile,2,1756825578,0.728108161,,,0.728108161,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825581,1.106191047,,,1.106191047,,0.000,,,,,,,,,,,,,,,
Bag14,Tile,4,1756825757,0.7360634351,,,0.7360634351,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825760,0.9018015842,,,0.9018015842,,0.000,,,,,,,,,,,,,,,
Bag15,Tile,2,1756825823,0.7616601807,,,0.7616601807,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825828,1.110426904,,,1.110426904,,0.000,,,,,,,,,,,,,,,
Bag16,Tile,1,1756825908,0.7463947216,,,0.7463947216,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825912,1.064507089,,,1.064507089,,0.000,,,,,,,,,,,,,,,
Bag17,Tile,3,1756825944,0.7589043801,extra 1,,0.7589043801,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825946,1.803533637,,,1.803533637,,0.000,,,,,,,,,,,,,,,
Bag18,Tile,2,1756825973,0.7706837071,,,0.7706837071,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825977,1.495165578,,,1.495165578,,0.000,,,,,,,,,,,,,,,
Bag19,Tile,5,1756826024,0.7332467526,,,0.7332467526,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756826027,1.18100476,,,1.18100476,,0.000,,,,,,,,,,,,,,,
Bag20,Tile,1,1756826068,0.7318222723,,,0.7318222723,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756826072,0.858934218,,,0.858934218,,0.000,,,,,,,,,,,,,,,
